Initializing env
'MountainCarEnv' object has no attribute 'init'
Initializing basis
Initializing agent
Initializing reward_func
'super' object has no attribute 'init'
Initializing gamma_func
Initializing offpolicy
'bool' object has no attribute 'init'
Initializing max_episodes
'int' object has no attribute 'init'
Initializing buffer_size
'int' object has no attribute 'init'
Initializing batch_size
'int' object has no attribute 'init'
Initializing seed
'int' object has no attribute 'init'
Episode: 316 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 317 | Total Reward: -81.0 | Length: 81 | Avg Reward: -1.0
Episode: 318 | Total Reward: -169.0 | Length: 169 | Avg Reward: -1.0
Episode: 319 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 320 | Total Reward: -48.0 | Length: 48 | Avg Reward: -1.0
Episode: 321 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 322 | Total Reward: -49.0 | Length: 49 | Avg Reward: -1.0
Episode: 323 | Total Reward: -63.0 | Length: 63 | Avg Reward: -1.0
Episode: 324 | Total Reward: -68.0 | Length: 68 | Avg Reward: -1.0
Episode: 325 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 326 | Total Reward: -64.0 | Length: 64 | Avg Reward: -1.0
Episode: 327 | Total Reward: -46.0 | Length: 46 | Avg Reward: -1.0
Episode: 328 | Total Reward: -55.0 | Length: 55 | Avg Reward: -1.0
Episode: 329 | Total Reward: -200.0 | Length: 200 | Avg Reward: -1.0
Episode: 330 | Total Reward: -77.0 | Length: 77 | Avg Reward: -1.0
Episode: 331 | Total Reward: -69.0 | Length: 69 | Avg Reward: -1.0
Episode: 332 | Total Reward: -57.0 | Length: 57 | Avg Reward: -1.0
Episode: 333 | Total Reward: -61.0 | Length: 61 | Avg Reward: -1.0
